text,span,label,ordinal,ac,ot
"['My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .']",staff,positive,0,service general,not always well trained
"['My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .']",staff,positive,0,service general,friendly
"[""You ca n't go wrong with this place .""]",place,positive,0,restaurant general,ca n't go wrong
['Personal pans are the perfect size for those hungry nights .'],Personal pans,positive,0,food style_options,perfect
"['Do not get the Go Go Hamburgers , no matter what the reviews say .']",Go Go Hamburgers,negative,0,food quality,Do not get
['I would definitely recommend SEA if you like thai cuisine !'],thai cuisine,positive,0,food quality,like
"[""Also , the sandwiches ( nearing $ 7 ) did n't come with anything like chips or a side .""]",sandwiches,negative,0,food style_options,did n't come with
"[""Also , the sandwiches ( nearing $ 7 ) did n't come with anything like chips or a side .""]",sandwiches,negative,0,food prices,nearing $ 7 
"['Ambience is delightful , service impeccable .']",Ambience,positive,0,ambience general,delightful
"['Ambience is delightful , service impeccable .']",service,positive,0,service general,impeccable
"['For the people who want great food plus great service , Roxy is a place to AVOID !']",food,negative,0,food quality,great
"['For the people who want great food plus great service , Roxy is a place to AVOID !']",service,negative,0,service general,great
['The pizza was great .'],pizza,positive,0,food quality,great
['My son and his girlfriend both wanted cheeseburgers and they were huge !'],cheeseburgers,neutral,0,food style_options,huge
['The counter service is bad .'],counter service,negative,0,service general,bad
['Atmosphere is nice and relaxed too ...'],Atmosphere,positive,0,ambience general,nice
['Atmosphere is nice and relaxed too ...'],Atmosphere,positive,0,ambience general,relaxed
['The food was well prepared and the service impecable .'],food,positive,0,food quality,well prepared
['The food was well prepared and the service impecable .'],service,positive,0,service general,impecable
"[""One of us actually liked the expresso - that 's it .""]",expresso,positive,0,drinks quality,liked
"['In an area sadly lacking in decent Thai food , this is one of the best spots .']",Thai food,positive,0,food quality,decent
"['Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !']",neighborhood,positive,0,location general,great
"['Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !']",food,positive,0,food quality,great
"['THe back garden sitting area is very pleasant , where you can see their personal herb garden .']",back garden sitting area,positive,0,ambience general,pleasant
['Food is great and inexpensive .'],Food,positive,0,food quality,great
['Food is great and inexpensive .'],Food,positive,0,food prices,inexpensive
['First of all Dal Bukhara Rocks .'],Dal Bukhara,positive,0,food quality,Rocks
['Decor is nice though service can be spotty .'],Decor,positive,0,ambience general,nice
['Decor is nice though service can be spotty .'],service,negative,0,service general,spotty
['The location and ambience is Ok but the food is what makes up for it .'],location,neutral,0,location general,Ok
['The location and ambience is Ok but the food is what makes up for it .'],ambience,neutral,0,ambience general,Ok
['The location and ambience is Ok but the food is what makes up for it .'],food,positive,0,food quality,makes up for it
['I go and eat out at many different restaurants and this is one place you have go and try .'],place,positive,0,restaurant general,have go and try
['Food awesome .'],Food,positive,0,food quality,awesome
"['good music , great food , speedy service affordable prices .']",music,positive,0,ambience general,good
"['good music , great food , speedy service affordable prices .']",food,positive,0,food quality,great
"['good music , great food , speedy service affordable prices .']",service,positive,0,service general,speedy
"[""The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .""]",pizza,positive,0,food quality,delicious
"[""The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .""]",fresh mozzarella,positive,0,food quality,fresh
['The characters really make for an enjoyable experience .'],characters,positive,0,ambience general,enjoyable
"[""I 've never had bad service and the fish is fresh and delicious .""]",service,positive,0,service general,never had bad
"[""I 've never had bad service and the fish is fresh and delicious .""]",fish,positive,0,food quality,fresh
"[""I 've never had bad service and the fish is fresh and delicious .""]",fish,positive,0,food quality,delicious
['Ambiance relaxed and stylish .'],Ambiance,positive,0,ambience general,relaxed
['Ambiance relaxed and stylish .'],Ambiance,positive,0,ambience general,stylish
"['Moules were excellent , lobster ravioli was VERY salty !']",Moules,positive,0,food quality,excellent
"['Moules were excellent , lobster ravioli was VERY salty !']",lobster ravioli,negative,0,food quality,salty
['first it took us a long time to find the place .'],place,negative,0,restaurant miscellaneous,took us a long time
"['Both times I was extremely dissappointed by the service , which was boarderline rude .']",service,negative,0,service general,dissappointed
"['Both times I was extremely dissappointed by the service , which was boarderline rude .']",service,negative,0,service general,rude
"['Despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .']",menu,negative,0,food style_options,limited
['Service was also horrible and the ambience is not that great .'],Service,negative,0,service general,horrible
['Service was also horrible and the ambience is not that great .'],ambience,negative,0,ambience general,not that great
"['Excellent dumplings served amid clean , chic decor .']",dumplings,positive,0,food quality,Excellent
"['Excellent dumplings served amid clean , chic decor .']",decor,positive,0,ambience general,clean
"['Excellent dumplings served amid clean , chic decor .']",decor,positive,0,ambience general,chic
['I absolutely love this place ! ! !'],place,positive,0,restaurant general,love
"['As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city .']",Lucky Strike,positive,0,restaurant general,best
"['The food is wonderful , tasty and filling , and the service is professional and friendly .']",food,positive,0,food quality,wonderful
"['The food is wonderful , tasty and filling , and the service is professional and friendly .']",food,positive,0,food quality,tasty
"['The food is wonderful , tasty and filling , and the service is professional and friendly .']",food,positive,0,food style_options,filling
"['The food is wonderful , tasty and filling , and the service is professional and friendly .']",service,positive,0,service general,professional
"['The food is wonderful , tasty and filling , and the service is professional and friendly .']",service,positive,0,service general,friendly
"['The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .']",service,negative,0,service general,terrible
['My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque .'],New England Chowder,positive,0,food quality,good
['My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque .'],Lobster Bisque,positive,0,food quality,award
"['The food was very good , a great deal , and the place its self was great .']",food,positive,0,food quality,good
"['The food was very good , a great deal , and the place its self was great .']",food,positive,0,food prices,good
"['The food was very good , a great deal , and the place its self was great .']",place,positive,0,ambience general,great
['Big Wong is a great place to eat and fill your stomach .'],Big Wong,positive,0,restaurant general,great
['The service was attentive .'],service,positive,0,service general,attentive
"['service is friendly , and never had a problem walking in and getting a table .']",service,positive,0,service general,friendly
['Authentic Pakistani food .'],Pakistani food,positive,0,food quality,Authentic
['I ate here a week ago and found most dishes average at best and too expensive .'],dishes,negative,0,food quality,average
['I ate here a week ago and found most dishes average at best and too expensive .'],dishes,negative,0,food prices,too expensive
['the turkey burgers are scary !'],turkey burgers,negative,0,food quality,scary
"[""If you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .""]",fish,negative,0,food quality,low quality
"[""If you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .""]",staff,negative,0,service general,unfriendly
"[""If you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .""]",sushi chef,negative,0,restaurant miscellaneous,miserable
"['The rest of the dim sum , though pricey by Chinatown standards , is worth it .']",dim sum,negative,0,food prices,pricey
"['The rest of the dim sum , though pricey by Chinatown standards , is worth it .']",dim sum,positive,0,food quality,worth
"['If you are looking for a good quality , cheap eats - this is the place .']",eats,positive,0,food quality,good quality
"['If you are looking for a good quality , cheap eats - this is the place .']",eats,positive,0,food prices,cheap
"['The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .']",food,positive,0,food quality,delicious
"['The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .']",dishes,positive,0,food quality,never a disappointment
"['The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .']",specials,positive,0,food quality,delicious
"['The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .']",regular menu-fare,positive,0,food quality,delicious
['Fantastic place .'],place,positive,0,restaurant general,Fantastic
"['This tiny restaurant is as cozy as it gets , with that certain Parisian flair .']",restaurant,positive,0,ambience general,cozy
"[""Took my mom for Mother 's Day , and the maitre was pretty rude .""]",maitre,negative,0,service general,rude
['If you want something really different than try Jekyll and Hyde .'],Jekyll and Hyde,positive,0,restaurant general,different
['The sushi is amazing ! ! !'],sushi,positive,0,food quality,amazing
['The fish was not fresh and the rice tasted old and stale .'],fish,negative,0,food quality,not fresh
['The fish was not fresh and the rice tasted old and stale .'],rice,negative,0,food quality,old
['The fish was not fresh and the rice tasted old and stale .'],rice,negative,0,food quality,stale
['skip dessert .'],dessert,negative,0,food quality,skip
['The food is so cheap and the waiters are nice .'],food,positive,0,food prices,cheap
['The food is so cheap and the waiters are nice .'],waiters,positive,0,service general,nice
"['This is a great place to take out-of-towners , and perfect for watching the sunset .']",place,positive,0,location general,great
['The wine list is interesting and has many good values .'],wine list,positive,0,drinks style_options,interesting
['The wine list is interesting and has many good values .'],wine list,positive,0,drinks prices,good values
['Suan is a great place that I often take my friends ( classmates ) too .'],Suan,positive,0,restaurant general,great
"[""If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here .""]",bottle,negative,0,drinks prices,love
"[""If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here .""]",music,negative,0,ambience general,like
"['The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .']",anti-pasta,positive,0,food quality,excellent
"['The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .']",calamari,positive,0,food quality,excellent
"['The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .']",pasta mains,positive,0,food quality,excellent
"['The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .']",pasta mains,positive,0,food style_options,excellent
['We waited at the bar and had martinis that were just right .'],martinis,positive,0,drinks quality,right
"['The portion sizes here are huge , and the sushi is good .']",portion sizes,positive,0,food style_options,huge
"['The portion sizes here are huge , and the sushi is good .']",sushi,positive,0,food quality,good
"['But the best part about LS is the late night atmosphere , delightfully free of the BTs .']",late night atmosphere,positive,0,ambience general,best
['I have NEVER been disappointed in the Red Eye .'],Red Eye,positive,0,restaurant general,NEVER been disappointed
['I went there for lunch and it was not as good as I expected from the reviews I read .'],lunch,negative,0,food quality,not as good as I expected
"['The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .']",chicken pot pie,positive,0,food quality,exceptional
"['The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .']",cheeseburger,positive,0,food style_options,huge
"['The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .']",cheeseburger,positive,0,food quality,delictable
"['The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .']",service,positive,0,service general,professional
"['The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .']",service,positive,0,service general,warm
['With the theater 2 blocks away we had a delicious meal in a beautiful room .'],meal,positive,0,food quality,delicious
['With the theater 2 blocks away we had a delicious meal in a beautiful room .'],room,positive,0,ambience general,beautiful
['Try the lobster teriyaki and the rose special roll .'],lobster teriyaki,positive,0,food quality,Try
['Try the lobster teriyaki and the rose special roll .'],rose special roll,positive,0,food quality,Try
['This place has got to be the best japanese restaurant in the new york area .'],place,positive,0,restaurant general,best
['I have never before eaten 40 pieces of relatively good nigiri .'],nigiri,neutral,0,food quality,good
"[""I did n't complain , I liked the atmosphere so much .""]",atmosphere,positive,0,ambience general,liked
['Great pizza for lunch place .'],pizza,positive,0,food quality,Great
['Someone else recommended the dessert - we also left that .'],dessert,negative,0,food quality,recommended
"['Best Italian food I ever had ( and being Italian , that means alot ) .']",Italian food,positive,0,food quality,Best
['My Girlfriend and I stumbled onto this hopping place the other night and had a great time !'],place,positive,0,restaurant general,hopping
['My Girlfriend and I stumbled onto this hopping place the other night and had a great time !'],place,positive,0,restaurant general,great time
"['Great food , good size menu , great service and an unpretensious setting .']",food,positive,0,food quality,Great
"['Great food , good size menu , great service and an unpretensious setting .']",menu,positive,0,food style_options,good size
"['Great food , good size menu , great service and an unpretensious setting .']",service,positive,0,service general,great
"['Great food , good size menu , great service and an unpretensious setting .']",setting,positive,0,ambience general,unpretensious
['The shrimp scampi was excellent and the antipasti were plentiful .'],shrimp scampi,positive,0,food quality,excellent
['The shrimp scampi was excellent and the antipasti were plentiful .'],antipasti,positive,0,food style_options,plentiful
"['The food arrived 20 minutes after I called , cold and soggy .']",food,negative,0,food quality,cold
"['The food arrived 20 minutes after I called , cold and soggy .']",food,negative,0,food quality,soggy
['I recently went to this restaurant with some co-workers for lunch and had an amazing time .'],restaurant,positive,0,restaurant general,amazing time
"['We were worried we would have trouble getting in , but somehow managed to have a short wait .']",wait,positive,0,service general,short
"[""But after last night , Spice Grill is the only place I 'm eating indian cuisine .""]",indian cuisine,positive,0,food quality,the only place
['We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .'],waitress,negative,0,service general,through the bill
['Wonderful strawberry daiquiries as well !'],strawberry daiquiries,positive,0,drinks quality,Wonderful
['But the staff was so horrible to us .'],staff,negative,0,service general,horrible
['The hostess is rude to the point of being offensive .'],hostess,negative,0,service general,rude
['The hostess is rude to the point of being offensive .'],hostess,negative,0,service general,offensive
"[""I 've also been amazed at all the new additions in the past few years : A new Jazz Bar , the most fantastic Dining Garden , the Best Thin Crust Pizzas , and now a Lasagna Menu which is to die for ( these are not your average lasagnas ) !""]",Dining Garden,positive,0,ambience general,fantastic
"[""I 've also been amazed at all the new additions in the past few years : A new Jazz Bar , the most fantastic Dining Garden , the Best Thin Crust Pizzas , and now a Lasagna Menu which is to die for ( these are not your average lasagnas ) !""]",Jazz Bar,positive,0,ambience general,new
"[""I 've also been amazed at all the new additions in the past few years : A new Jazz Bar , the most fantastic Dining Garden , the Best Thin Crust Pizzas , and now a Lasagna Menu which is to die for ( these are not your average lasagnas ) !""]",Thin Crust Pizzas,positive,0,food quality,Best
